key,text_wo_stopfreq,text_stemmed,NEWcolumn
BROOKLYN-630,deploying brooklyn cli disabled part brooklyn build due java memory heap issue needs fixed cli built example failure seen https ci builds apache org job brooklyn job brooklyn job master console console output attached case gets lost happens deployment usually brooklyn client step appears log nothing much built client profile active run tests step step need build client find apache infra team executer docker environment may make possible replicate locally enable brooklyn cli build,deploy brooklyn cli dis part brooklyn build due jav mem heap issu nee fix cli built exampl fail seen https ci build apach org job brooklyn job brooklyn job mast consol consol output attach cas get lost hap deploy us brooklyn cli step appear log noth much built cli profil act run test step step nee build cli find apach infr team execut dock environ may mak poss reply loc en brooklyn cli build,NSBR
BROOKLYN-628,info brooklyn ui modules parent success info brooklyn ui modules ui utils failure info brooklyn ui modules home skipped info brooklyn ui modules app inspector skipped info brooklyn ui modules blueprint composer skipped info brooklyn ui modules blueprint importer skipped info brooklyn ui modules catalog skipped info brooklyn ui modules location manager skipped info brooklyn ui modules rest api docs skipped info brooklyn ui modules groovy console skipped info brooklyn ui modules logout skipped info brooklyn ui modules features skipped info brooklyn ui features skipped info brooklyn library root skipped info brooklyn cm chef skipped info brooklyn cm saltstack skipped info brooklyn cm ansible skipped info brooklyn cm integration root skipped info brooklyn network software entities skipped info brooklyn osgi software entities skipped info brooklyn database software entities skipped info brooklyn web app software entities skipped info brooklyn messaging software entities skipped info brooklyn nosql data store software entities skipped info brooklyn monitoring software entities skipped info brooklyn web app software entities skipped info brooklyn qa skipped info brooklyn examples aggregator project skipped info brooklyn examples aggregator project webapps skipped info hello world webapp maven webapp skipped info hello world sql webapp maven webapp skipped info brooklyn simple web cluster example skipped info brooklyn library karaf integration skipped info brooklyn library catalog skipped info brooklyn library karaf features skipped info brooklyn downstream project parent skipped info brooklyn dist root skipped info brooklyn things skipped info brooklyn distribution skipped info brooklyn karaf distribution parent skipped info brooklyn karaf server configuration skipped info brooklyn dist karaf features skipped info brooklyn karaf distribution skipped info brooklyn karaf pax exam itest skipped info brooklyn vagrant getting started environment skipped info brooklyn quick start project archetype skipped info brooklyn shared package files skipped info brooklyn root snapshot skipped info info build failure info info total time min info finished info error failed execute goal com github eirslett frontend maven plugin npm npm install project brooklyn ui utils failed run task npm install https proxy http proxy http failed org apache commons exec executeexception process exited error exit value help error error see full stack trace errors run maven e switch error run maven using x switch enable full debug logging error error information errors possible solutions please read following articles error help http cwiki apache org confluence display maven mojofailureexception error error correcting problems resume build command error mvn goals rf brooklyn ui utils npm install https proxy http proxy http npm warn saveerror enoent file directory open data jw apache brooklyn package json npm notice created lockfile package lock json commit file npm warn enoent enoent file directory open data jw apache brooklyn package json npm warn brooklyn description npm warn brooklyn repository field npm warn brooklyn readme data npm warn brooklyn license field date found vulnerabilitiesmvn install dskiptests fails aarch fedora java also centos java,info brooklyn ui mod par success info brooklyn ui mod ui util fail info brooklyn ui mod hom skip info brooklyn ui mod ap inspect skip info brooklyn ui mod blueprint compos skip info brooklyn ui mod blueprint import skip info brooklyn ui mod catalog skip info brooklyn ui mod loc man skip info brooklyn ui mod rest ap doc skip info brooklyn ui mod groovy consol skip info brooklyn ui mod logout skip info brooklyn ui mod feat skip info brooklyn ui feat skip info brooklyn libr root skip info brooklyn cm chef skip info brooklyn cm saltstack skip info brooklyn cm ans skip info brooklyn cm integr root skip info brooklyn network softw ent skip info brooklyn osg softw ent skip info brooklyn databas softw ent skip info brooklyn web ap softw ent skip info brooklyn mess softw ent skip info brooklyn nosql dat stor softw ent skip info brooklyn monit softw ent skip info brooklyn web ap softw ent skip info brooklyn qa skip info brooklyn exampl aggreg project skip info brooklyn exampl aggreg project webap skip info hello world webap mav webap skip info hello world sql webap mav webap skip info brooklyn simpl web clust exampl skip info brooklyn libr karaf integr skip info brooklyn libr catalog skip info brooklyn libr karaf feat skip info brooklyn downstream project par skip info brooklyn dist root skip info brooklyn thing skip info brooklyn distribut skip info brooklyn karaf distribut par skip info brooklyn karaf serv config skip info brooklyn dist karaf feat skip info brooklyn karaf distribut skip info brooklyn karaf pax exam itest skip info brooklyn vagr get start environ skip info brooklyn quick start project archetyp skip info brooklyn shar pack fil skip info brooklyn root snapshot skip info info build fail info info tot tim min info fin info er fail execut goal com github eirslet frontend mav plugin npm npm instal project brooklyn ui util fail run task npm instal https proxy http proxy http fail org apach common exec executeexceiv process exit er exit valu help er er see ful stack trac er run mav e switch er run mav us x switch en ful debug log er er inform er poss solv pleas read follow artic er help http cwik apach org conflu display mav mojofailureexceiv er er correct problem resum build command er mvn goal rf brooklyn ui util npm instal https proxy http proxy http npm warn saveer eno fil direct op dat jw apach brooklyn pack json npm not cre lockfil pack lock json commit fil npm warn eno eno fil direct op dat jw apach brooklyn pack json npm warn brooklyn describ npm warn brooklyn reposit field npm warn brooklyn readm dat npm warn brooklyn licens field dat found vulnerabilitiesmvn instal dskiptests fail aarch fedor jav also cento jav,SBR
BROOKLYN-627,since merging https github com apache brooklyn server pull e yet official brooklyn release startup seen error rpm build centos non deterministic noformat error f kubernetes client tures thread bundle io fabric kubernetes client io fabric kubernetes client osgi managedkubernetesclient error instantiation th e implementation object java lang reflect invocationtargetexception null sun reflect nativeconstructoraccessorimpl newinstance native method sun reflect nativeconstructoraccessorimpl newinstance nativeconstructoraccessorimpl java sun reflect delegatingconstructoraccessorimpl newinstance delegatingconstructoraccessorimpl java java lang reflect constructor newinstance constructor java org apache felix scr impl inject componentconstructor newinstance componentconstructor java org apache felix scr impl manager singlecomponentmanager createimplementationobject singlecomponentmanager java org apache felix scr impl manager singlecomponentmanager createcomponent singlecomponentmanager java org apache felix scr impl manager singlecomponentmanager getservice singlecomponentmanager java org apache felix scr impl manager singlecomponentmanager getserviceinternal singlecomponentmanager java org apache felix scr impl manager abstractcomponentmanager activateinternal abstractcomponentmanager java org apache felix scr impl manager abstractcomponentmanager enableinternal abstractcomponentmanager java org apache felix scr impl manager abstractcomponentmanager enable abstractcomponentmanager java org apache felix scr impl manager configurablecomponentholder enablecomponents configurablecomponentholder java org apache felix scr impl bundlecomponentactivator initialenable bundlecomponentactivator java org apache felix scr impl activator loadcomponents activator java org apache felix scr impl activator access activator java org apache felix scr impl activator scrextension start activator java org apache felix scr impl abstractextender createextension abstractextender java org apache felix scr impl abstractextender modifiedbundle abstractextender java org apache felix scr impl abstractextender modifiedbundle abstractextender java org osgi util tracker bundletracker tracked customizermodified bundletracker java osgi core jar org osgi util tracker bundletracker tracked customizermodified bundletracker java osgi core jar org osgi util tracker abstracttracked track abstracttracked java osgi core jar org osgi util tracker bundletracker tracked bundlechanged bundletracker java osgi core jar org apache felix framework eventdispatcher invokebundlelistenercallback eventdispatcher java org apache felix framework eventdispatcher fireeventimmediately eventdispatcher java org apache felix framework eventdispatcher firebundleevent eventdispatcher java org apache felix framework felix firebundleevent felix java org apache felix framework felix startbundle felix java org apache felix framework bundleimpl start bundleimpl java org apache felix framework bundleimpl start bundleimpl java org apache karaf features internal service bundleinstallsupportimpl startbundle bundleinstallsupportimpl java org apache karaf features internal service featuresserviceimpl startbundle featuresserviceimpl java org apache karaf features internal service deployer deploy deployer java org apache karaf features internal service featuresserviceimpl doprovision featuresserviceimpl java org apache karaf features internal service featuresserviceimpl lambda doprovisioninthread featuresserviceimpl java java util concurrent futuretask run futuretask java java util concurrent threadpoolexecutor runworker threadpoolexecutor java java util concurrent threadpoolexecutor worker run threadpoolexecutor java java lang thread run thread java caused java lang noclassdeffounderror okhttp interceptor java lang classloader defineclass native method java lang classloader defineclass classloader java org apache felix framework bundlewiringimpl bundleclassloader defineclass bundlewiringimpl java org apache felix framework bundlewiringimpl bundleclassloader findclass bundlewiringimpl java org apache felix framework bundlewiringimpl findclassorresourcebydelegation bundlewiringimpl java org apache felix framework bundlewiringimpl access bundlewiringimpl java org apache felix framework bundlewiringimpl bundleclassloader loadclass bundlewiringimpl java java lang classloader loadclass classloader java org apache felix framework bundlewiringimpl getclassbydelegation bundlewiringimpl java org apache felix framework bundlewiringimpl searchimports bundlewiringimpl java org apache felix framework bundlewiringimpl findclassorresourcebydelegation bundlewiringimpl java org apache felix framework bundlewiringimpl access bundlewiringimpl java org apache felix framework bundlewiringimpl bundleclassloader loadclass bundlewiringimpl java java lang classloader loadclass classloader java io fabric kubernetes client utils httpclientutils createhttpclient httpclientutils java io fabric kubernetes client utils httpclientutils createhttpclient httpclientutils java io fabric kubernetes client baseclient init baseclient java io fabric kubernetes client baseclient init baseclient java io fabric kubernetes client osgi managedkubernetesclient init managedkubernetesclient java caused java lang classnotfoundexception okhttp interceptor found wrapfileoptamp snapshotsystemcomsquareupokhttp logging interceptor logging interceptor jar org apache felix framework bundlewiringimpl findclassorresourcebydelegation bundlewiringimpl java org apache felix framework bundlewiringimpl access bundlewiringimpl java org apache felix framework bundlewiringimpl bundleclassloader loadclass bundlewiringimpl java java lang classloader loadclass classloader java java lang classloader defineclass native method java lang classloader defineclass classloader java org apache felix framework bundlewiringimpl bundleclassloader defineclass bundlewiringimpl java org apache felix framework bundlewiringimpl bundleclassloader findclass bundlewiringimpl java org apache felix framework bundlewiringimpl findclassorresourcebydelegation bundlewiringimpl java org apache felix framework bundlewiringimpl access bundlewiringimpl java org apache felix framework bundlewiringimpl bundleclassloader loadclass bundlewiringimpl java java lang classloader loadclass classloader java org apache felix framework bundlewiringimpl getclassbydelegation bundlewiringimpl java org apache felix framework bundlewiringimpl searchimports bundlewiringimpl java org apache felix framework bundlewiringimpl findclassorresourcebydelegation bundlewiringimpl java org apache felix framework bundlewiringimpl access bundlewiringimpl java org apache felix framework bundlewiringimpl bundleclassloader loadclass bundlewiringimpl java java lang classloader loadclass classloader java io fabric kubernetes client utils httpclientutils createhttpclient httpclientutils java io fabric kubernetes client utils httpclientutils createhttpclient httpclientutils java io fabric kubernetes client baseclient init baseclient java io fabric kubernetes client baseclient init baseclient java io fabric kubernetes client osgi managedkubernetesclient init managedkubernetesclient java noformat looking okhttp logging interceptor import package optional okhttp resolution optional guess means bundle start okhttp bundle wrapped started hence class available getting called bundle startup io fabric kubernetes client bundle declares services io fabric kubernetes client utils httpclientutils createhttpclient references okhttp logging httplogginginterceptor triggers class loading later startup log mention rewiring okhttp logging interceptor expect okhttp package subsequently becomes available requires investigation kubernetes client bundle initialisation fails,sint merg https github com apach brooklyn serv pul e yet off brooklyn releas startup seen er rpm build cento non determin noform er f kubernet cli tur thread bundl io fabr kubernet cli io fabr kubernet cli osg managedkubernetesc er instanty th e impl object jav lang reflect invocationtargetexceiv nul sun reflect nativeconstructoraccessorimpl newinst nat method sun reflect nativeconstructoraccessorimpl newinst nativeconstructoraccessorimpl jav sun reflect delegatingconstructoraccessorimpl newinst delegatingconstructoraccessorimpl jav jav lang reflect construct newinst construct jav org apach felix scr impl inject componentconstruct newinst componentconstruct jav org apach felix scr impl man singlecomponentm createimplementationobject singlecomponentm jav org apach felix scr impl man singlecomponentm createcompon singlecomponentm jav org apach felix scr impl man singlecomponentm getserv singlecomponentm jav org apach felix scr impl man singlecomponentm getserviceintern singlecomponentm jav org apach felix scr impl man abstractcomponentm activateintern abstractcomponentm jav org apach felix scr impl man abstractcomponentm enableintern abstractcomponentm jav org apach felix scr impl man abstractcomponentm en abstractcomponentm jav org apach felix scr impl man configurablecomponenthold enablecompon configurablecomponenthold jav org apach felix scr impl bundlecomponentact init bundlecomponentact jav org apach felix scr impl act loadcompon act jav org apach felix scr impl act access act jav org apach felix scr impl act scrextension start act jav org apach felix scr impl abstractextend createextend abstractextend jav org apach felix scr impl abstractextend modifiedbundl abstractextend jav org apach felix scr impl abstractextend modifiedbundl abstractextend jav org osg util track bundletrack track customizermod bundletrack jav osg cor jar org osg util track bundletrack track customizermod bundletrack jav osg cor jar org osg util track abstracttrack track abstracttrack jav osg cor jar org osg util track bundletrack track bundlechang bundletrack jav osg cor jar org apach felix framework eventdispatch invokebundlelistenercallback eventdispatch jav org apach felix framework eventdispatch fireeventimmedy eventdispatch jav org apach felix framework eventdispatch firebundleev eventdispatch jav org apach felix framework felix firebundleev felix jav org apach felix framework felix startbundl felix jav org apach felix framework bundleimpl start bundleimpl jav org apach felix framework bundleimpl start bundleimpl jav org apach karaf feat intern serv bundleinstallsupportimpl startbundl bundleinstallsupportimpl jav org apach karaf feat intern serv featuresserviceimpl startbundl featuresserviceimpl jav org apach karaf feat intern serv deploy deploy deploy jav org apach karaf feat intern serv featuresserviceimpl doprovid featuresserviceimpl jav org apach karaf feat intern serv featuresserviceimpl lambd doprovisioninthread featuresserviceimpl jav jav util concur futuretask run futuretask jav jav util concur threadpoolexecutor runwork threadpoolexecutor jav jav util concur threadpoolexecutor work run threadpoolexecutor jav jav lang thread run thread jav caus jav lang noclassdeffounder okhttp interceiv jav lang classload defineclass nat method jav lang classload defineclass classload jav org apach felix framework bundlewiringimpl bundleclassload defineclass bundlewiringimpl jav org apach felix framework bundlewiringimpl bundleclassload findclass bundlewiringimpl jav org apach felix framework bundlewiringimpl findclassorresourcebydeleg bundlewiringimpl jav org apach felix framework bundlewiringimpl access bundlewiringimpl jav org apach felix framework bundlewiringimpl bundleclassload loadclass bundlewiringimpl jav jav lang classload loadclass classload jav org apach felix framework bundlewiringimpl getclassbydeleg bundlewiringimpl jav org apach felix framework bundlewiringimpl searchimport bundlewiringimpl jav org apach felix framework bundlewiringimpl findclassorresourcebydeleg bundlewiringimpl jav org apach felix framework bundlewiringimpl access bundlewiringimpl jav org apach felix framework bundlewiringimpl bundleclassload loadclass bundlewiringimpl jav jav lang classload loadclass classload jav io fabr kubernet cli util httpclientutils createhttpc httpclientutils jav io fabr kubernet cli util httpclientutils createhttpc httpclientutils jav io fabr kubernet cli basec init basec jav io fabr kubernet cli basec init basec jav io fabr kubernet cli osg managedkubernetesc init managedkubernetesc jav caus jav lang classnotfoundexceiv okhttp interceiv found wrapfileoptamp snapshotsystemcomsquareupokhttp log interceiv log interceiv jar org apach felix framework bundlewiringimpl findclassorresourcebydeleg bundlewiringimpl jav org apach felix framework bundlewiringimpl access bundlewiringimpl jav org apach felix framework bundlewiringimpl bundleclassload loadclass bundlewiringimpl jav jav lang classload loadclass classload jav jav lang classload defineclass nat method jav lang classload defineclass classload jav org apach felix framework bundlewiringimpl bundleclassload defineclass bundlewiringimpl jav org apach felix framework bundlewiringimpl bundleclassload findclass bundlewiringimpl jav org apach felix framework bundlewiringimpl findclassorresourcebydeleg bundlewiringimpl jav org apach felix framework bundlewiringimpl access bundlewiringimpl jav org apach felix framework bundlewiringimpl bundleclassload loadclass bundlewiringimpl jav jav lang classload loadclass classload jav org apach felix framework bundlewiringimpl getclassbydeleg bundlewiringimpl jav org apach felix framework bundlewiringimpl searchimport bundlewiringimpl jav org apach felix framework bundlewiringimpl findclassorresourcebydeleg bundlewiringimpl jav org apach felix framework bundlewiringimpl access bundlewiringimpl jav org apach felix framework bundlewiringimpl bundleclassload loadclass bundlewiringimpl jav jav lang classload loadclass classload jav io fabr kubernet cli util httpclientutils createhttpc httpclientutils jav io fabr kubernet cli util httpclientutils createhttpc httpclientutils jav io fabr kubernet cli basec init basec jav io fabr kubernet cli basec init basec jav io fabr kubernet cli osg managedkubernetesc init managedkubernetesc jav noform look okhttp log interceiv import pack opt okhttp resolv opt guess mean bundl start okhttp bundl wrap start hent class avail get cal bundl startup io fabr kubernet cli bundl decl serv io fabr kubernet cli util httpclientutils createhttpc ref okhttp log httplogginginterceptor trig class load lat startup log ment rewir okhttp log interceiv expect okhttp pack subsequ becom avail requir investig kubernet cli bundl init fail,SBR
BROOKLYN-626,since upgrading karaf bug hopefully never ga release brooklyn using jmxmp e g tomcat server entity brooklyn fails exception like using jmxmp e g tomcat server entity brooklyn fails exception like noformat unable connect jmx url repeated failure service jmx jmxmp unable connect jmx url repeated failure service jmx jmxmp java lang classcastexception javax management remote message handshakebeginmessage cannot cast javax management remote message message com sun jmx remote socket socketconnection readmessage socketconnection java opendmkjmxremoteoptionaljar b ea jar com sun jmx remote opt security adminclient connectionopen adminclient java opendmkjmxremoteoptionaljar b ea jar com sun jmx remote generic clientsynchromessageconnectionimpl connect clientsynchromessageconnectionimpl java opendmkjmxremoteoptionaljar b ea jar javax management remote generic genericconnector connect genericconnector java javax management remote jmxmp jmxmpconnector connect jmxmpconnector java javax management remote jmxconnectorfactory connect jmxconnectorfactory java org apache brooklyn feed jmx jmxhelper newconnector jmxhelper java snapshot org apache brooklyn feed jmx jmxhelper connect jmxhelper java snapshot org apache brooklyn feed jmx jmxhelper reconnect jmxhelper java snapshot org apache brooklyn feed jmx jmxhelper reconnectwithretrydampened jmxhelper java snapshot org apache brooklyn feed jmx jmxhelper invokewithreconnect jmxhelper java snapshot org apache brooklyn feed jmx jmxhelper findmbeans jmxhelper java snapshot org apache brooklyn feed jmx jmxhelper findmbean jmxhelper java snapshot org apache brooklyn feed jmx jmxhelper toliteralobjectname jmxhelper java snapshot org apache brooklyn feed jmx jmxhelper getattribute jmxhelper java snapshot org apache brooklyn feed jmx jmxfeed call jmxfeed java snapshot org apache brooklyn core feed poller polljob run poller java snapshot org apache brooklyn core feed poller call poller java snapshot org apache brooklyn core feed poller call poller java snapshot org apache brooklyn util core task dynamicsequentialtask dstjob call dynamicsequentialtask java snapshot org apache brooklyn util core task basicexecutionmanager scheduledtaskcallable call basicexecutionmanager java snapshot org apache brooklyn util core task basicexecutionmanager submissioncallable call basicexecutionmanager java snapshot java util concurrent futuretask run futuretask java java util concurrent threadpoolexecutor runworker threadpoolexecutor java java util concurrent threadpoolexecutor worker run threadpoolexecutor java java lang thread run thread java noformat comms jmxmp fail jmxfeed get sensor values cause entities tomcat server show failing start simple blueprint reproduce noformat location centos awsuseast services type org apache brooklyn entity webapp tomcat tomcat server id tomcat brooklyn config webapp enabledprotocols http https jmx enabled true jmx password snip webapp https ssl keystorepassword password keyalias tomcat keystoreurl https github com brooklyncentral brooklyn tomcat server raw master sample keystore noformat jmxmp broken classcastexception javax management remote message handshakebeginmessage cannot cast javax management remote message message,sint upgrad karaf bug hop nev ga releas brooklyn us jmxmp e g tomc serv ent brooklyn fail exceiv lik us jmxmp e g tomc serv ent brooklyn fail exceiv lik noform un connect jmx url rep fail serv jmx jmxmp un connect jmx url rep fail serv jmx jmxmp jav lang classcastexceiv javax man remot mess handshakebeginmess cannot cast javax man remot mess mess com sun jmx remot socket socketconnect readmess socketconnect jav opendmkjmxremoteoptionalj b ea jar com sun jmx remot opt sec admint connectionop admint jav opendmkjmxremoteoptionalj b ea jar com sun jmx remot gen clientsynchromessageconnectionimpl connect clientsynchromessageconnectionimpl jav opendmkjmxremoteoptionalj b ea jar javax man remot gen genericconnect connect genericconnect jav javax man remot jmxmp jmxmpconnector connect jmxmpconnector jav javax man remot jmxconnectorfactory connect jmxconnectorfactory jav org apach brooklyn fee jmx jmxhelper newconnect jmxhelper jav snapshot org apach brooklyn fee jmx jmxhelper connect jmxhelper jav snapshot org apach brooklyn fee jmx jmxhelper reconnect jmxhelper jav snapshot org apach brooklyn fee jmx jmxhelper reconnectwithretrydamp jmxhelper jav snapshot org apach brooklyn fee jmx jmxhelper invokewithreconnect jmxhelper jav snapshot org apach brooklyn fee jmx jmxhelper findmb jmxhelper jav snapshot org apach brooklyn fee jmx jmxhelper findmb jmxhelper jav snapshot org apach brooklyn fee jmx jmxhelper toliteralobjectnam jmxhelper jav snapshot org apach brooklyn fee jmx jmxhelper getattribut jmxhelper jav snapshot org apach brooklyn fee jmx jmxfeed cal jmxfeed jav snapshot org apach brooklyn cor fee pol polljob run pol jav snapshot org apach brooklyn cor fee pol cal pol jav snapshot org apach brooklyn cor fee pol cal pol jav snapshot org apach brooklyn util cor task dynamicsequentialtask dstjob cal dynamicsequentialtask jav snapshot org apach brooklyn util cor task basicexecutionm scheduledtaskcallable cal basicexecutionm jav snapshot org apach brooklyn util cor task basicexecutionm submissioncal cal basicexecutionm jav snapshot jav util concur futuretask run futuretask jav jav util concur threadpoolexecutor runwork threadpoolexecutor jav jav util concur threadpoolexecutor work run threadpoolexecutor jav jav lang thread run thread jav noform com jmxmp fail jmxfeed get sens valu caus ent tomc serv show fail start simpl blueprint reproduc noform loc cento awsuseast serv typ org apach brooklyn ent webap tomc tomc serv id tomc brooklyn config webap enabledprotocol http https jmx en tru jmx password snip webap https ssl keystorepassword password keyalia tomc keystoreurl https github com brooklynt brooklyn tomc serv raw mast sampl keyst noform jmxmp brok classcastexceiv javax man remot mess handshakebeginmess cannot cast javax man remot mess mess,SBR
BROOKLYN-625,ensure least one location configured location manager open blueprint composer click new application entity canvas sidebar expand location section click attach location expected behaviour list locations choose actual behaviour empty list message nothing available workaround location name typed manually ad hoc tile clicked attached blueprint composer cannot select location,ens least on loc config loc man op blueprint compos click new apply ent canva sideb expand loc sect click attach loc expect behavio list loc choos act behavio empty list mess noth avail workaround loc nam typ man ad hoc til click attach blueprint compos cannot select loc,SBR
BROOKLYN-624,uploading file catalog done either dragging dropping clicking file upload button file upload button allows file selected nothing actioned file upload catalog via file picker work,upload fil catalog don eith drag drop click fil upload button fil upload button allow fil select noth act fil upload catalog via fil pick work,NSBR
BROOKLYN-619,blueprint composer entity palette paged grid list modes apart compact list compact list active every mode display entities without paging blueprint composer missing pagination switching compact list back another mode,blueprint compos ent palet pag grid list mod apart compact list compact list act every mod display ent without pag blueprint compos miss pagin switch compact list back anoth mod,NSBR
BROOKLYN-618,elastic stack elasticsearch node cluster logstash kibana broken links elk entity icons across several bundles,elast stack elasticsearch nod clust logstash kiban brok link elk ent icon across sev bundl,NSBR
BROOKLYN-617,text reads stop image hotlinked icons brooklyn dns entities wonky,text read stop im hotlink icon brooklyn dns ent wonky,NSBR
BROOKLYN-616,rest api docs page shows error message swagger json file inaccessible internet detected customer prem environment json schemavalidationmessages level error message read file http host v apidoc swagger json rest api swagger validation fails isolated environment,rest ap doc pag show er mess swag json fil inaccess internet detect custom prem environ json schemavalidationmessages level er mess read fil http host v apidoc swag json rest ap swag valid fail isol environ,SBR
