key,text_wo_stopfreq,text_stemmed,NEWcolumn
HIVE-23966,minor compaction major iow result directories look like basezv delta yv deletedelta yv basezv delta z yv deletedelta z yv issues causes example running insert overwrite minor compaction major compaction fail following error noformat found equal splits orcsplit hdfs warehouse tablespace managed hive bucketed delta v bucket start length isoriginal false filelength hasfooter false hasbase true deltas orcsplit hdfs warehouse tablespace managed hive bucketed base bucket start length isoriginal false filelength hasfooter false hasbase true deltas noformat fail noformat caused org apache hadoop hive ql metadata hiveexception wrong sort order acid rows detected rows org apache hadoop hive ql udf generic genericudfvalidateacidsortorder writeidrowid b org apache hadoop hive ql udf generic genericudfvalidateacidsortorder writeidrowid f bd f noformat minor query based compaction always results delta dirs minwriteid,min compact maj iow result direct look lik basezv delt yv deletedelt yv basezv delt z yv deletedelt z yv issu caus exampl run insert overwrit min compact maj compact fail follow er noform found eq splits orcsplit hdfs wareh tablespac man hiv bucket delt v bucket start leng isorigin fals fileleng hasfoot fals hasbas tru delta orcsplit hdfs wareh tablespac man hiv bucket bas bucket start leng isorigin fals fileleng hasfoot fals hasbas tru delta noform fail noform caus org apach hadoop hiv ql metadat hiveexceiv wrong sort ord acid row detect row org apach hadoop hiv ql udf gen genericudfvalidateacidsortord writeidrowid b org apach hadoop hiv ql udf gen genericudfvalidateacidsortord writeidrowid f bd f noform min query bas compact alway result delt dir minwriteid,SBR
HIVE-23963,following tpc ds queries cboquery q cboquery q query q query q fail metastore partitioned tpc ds tb dataset stacktraces cboquery cboquery show problem originates applying hivecardinalitypreservingjoinrule unsupportedoperationexception queries applying hivecardinalitypreservingjoinrule,follow tpc ds query cboquery q cboquery q query q query q fail metast partit tpc ds tb dataset stacktrac cboquery cboquery show problem origin apply hivecardinalitypreservingjoinr unsupportedoperationexceiv query apply hivecardinalitypreservingjoinr,NSBR
HIVE-23952,screenshot png width height https github com apache hive blob master ql src java org apache hadoop hive ql exec vector vectorgroupbyoperator java code java aggregationbuffer allocateaggregationbuffer code flushed aggregation buffers could reused instead allocating everytime reduce gc pressure reuse vectoraggregationbuffer reduce gc pressure vectorgroupbyoperator,screenshot png wid height https github com apach hiv blob mast ql src jav org apach hadoop hiv ql exec vect vectorgroupbyop jav cod jav aggregationbuff allocateaggregationbuff cod flush aggreg buff could reus instead alloc everytim reduc gc press reus vectoraggregationbuff reduc gc press vectorgroupbyop,NSBR
HIVE-23947,llap relies hostaffinitysplitlocationprovider route splits always llap daemons consistent split data among nodes gain good hit ratio thus good performance text files almost never granted hostaffinitysplitlocationprovider never used hs set cache affinity flag job conf text inputformat content compile launched tez rely hdfs location information route splits therefore tasks executor nodes location information might good overlap actual daemons case tez mostly choose executors random way turn result hit ratio hardly reaching time run query disk read still occur content gets populated daemons running query tens hundreds times causing poor performance cache affinity unset text files read llap,llap rely hostaffinitysplitlocationprovid rout splits alway llap daemon consist split dat among nod gain good hit ratio thu good perform text fil almost nev grant hostaffinitysplitlocationprovid nev us hs set cach affin flag job conf text inputform cont compil launch tez rely hdfs loc inform rout splits theref task execut nod loc inform might good overlap act daemon cas tez most choos execut random way turn result hit ratio hard reach tim run query disk read stil occ cont get pop daemon run query ten hundr tim caus poor perform cach affin unset text fil read llap,SBR
HIVE-23929,using nifi stream data hive tables happen newly created partitions different owner table running compaction partitions fail code java org apache hadoop security accesscontrolexception permission denied user testuser access execute inode warehouse tablespace managed hive hive hadoop drwx code run compaction partition owner,us nif stream dat hiv tabl hap new cre partit diff own tabl run compact partit fail cod jav org apach hadoop sec accesscontrolexceiv permit deny us testus access execut inod wareh tablespac man hiv hiv hadoop drwx cod run compact partit own,SBR
HIVE-23917,follow https issues apache org jira browse hive case depending data large number entries aggregation map exceed average access could prevent flushing limit adding reset evicted entries would help preventing reset key access count eviction vectorgroupbyoperator,follow https issu apach org jir brows hiv cas depend dat larg numb entry aggreg map excess av access could prev flush limit ad reset evict entry would help prev reset key access count evict vectorgroupbyop,SBR
HIVE-23911,code create table col int col int select col count distinct col group col count distinct col code code error c c acf ab ed e main parse calciteplanner cbo failed skipping cbo org apache hadoop hive ql optimizer calcite calcitesemanticexception distinct without aggregation org apache hadoop hive ql parse calciteplanner calciteplanneraction internalgenselectlogicalplan calciteplanner java hive exec snapshot jar snapshot org apache hadoop hive ql parse calciteplanner calciteplanneraction genselectlogicalplan calciteplanner java hive exec snapshot jar snapshot org apache hadoop hive ql parse calciteplanner calciteplanneraction genlogicalplan calciteplanner java hive exec snapshot jar snapshot org apache hadoop hive ql parse calciteplanner calciteplanneraction apply calciteplanner java hive exec snapshot jar snapshot org apache hadoop hive ql parse calciteplanner calciteplanneraction apply calciteplanner java hive exec snapshot jar snapshot org apache calcite tools frameworks lambda withplanner frameworks java hive exec snapshot jar snapshot org apache calcite prepare calciteprepareimpl perform calciteprepareimpl java hive exec snapshot jar snapshot org apache calcite tools frameworks withprepare frameworks java hive exec snapshot jar snapshot org apache calcite tools frameworks withplanner frameworks java hive exec snapshot jar snapshot org apache hadoop hive ql parse calciteplanner logicalplan calciteplanner java hive exec snapshot jar snapshot org apache hadoop hive ql parse calciteplanner genoptree calciteplanner java hive exec snapshot jar snapshot org apache hadoop hive ql parse semanticanalyzer analyzeinternal semanticanalyzer java hive exec snapshot jar snapshot org apache hadoop hive ql parse calciteplanner analyzeinternal calciteplanner java hive exec snapshot jar snapshot org apache hadoop hive ql parse basesemanticanalyzer analyze basesemanticanalyzer java hive exec snapshot jar snapshot org apache hadoop hive ql compiler analyze compiler java hive exec snapshot jar snapshot org apache hadoop hive ql compiler compile compiler java hive exec snapshot jar snapshot org apache hadoop hive ql driver compile driver java hive exec snapshot jar snapshot org apache hadoop hive ql driver compileinternal driver java hive exec snapshot jar snapshot org apache hadoop hive ql driver compileandrespond driver java hive exec snapshot jar snapshot org apache hadoop hive ql driver compileandrespond driver java hive exec snapshot jar snapshot org apache hadoop hive ql reexec reexecdriver compileandrespond reexecdriver java hive exec snapshot jar snapshot org apache hadoop hive ql reexec reexecdriver run reexecdriver java hive exec snapshot jar snapshot org apache hadoop hive cli clidriver processlocalcmd clidriver java hive cli snapshot jar org apache hadoop hive cli clidriver processcmd clidriver java hive cli snapshot jar org apache hadoop hive cli clidriver processcmd clidriver java hive cli snapshot jar org apache hadoop hive cli clidriver processline clidriver java hive cli snapshot jar org apache hadoop hive cli clidriver processline clidriver java hive cli snapshot jar org apache hadoop hive ql qtestutil executeclientinternal qtestutil java hive util snapshot jar snapshot org apache hadoop hive ql qtestutil executeclient qtestutil java hive util snapshot jar snapshot org apache hadoop hive cli control coreclidriver runtest coreclidriver java hive util snapshot jar snapshot org apache hadoop hive cli control cliadapter runtest cliadapter java hive util snapshot jar snapshot org apache hadoop hive cli testminillaplocalclidriver testclidriver testminillaplocalclidriver java test classes sun reflect nativemethodaccessorimpl invoke native method sun reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl java sun reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl java java lang reflect method invoke method java org junit runners model frameworkmethod runreflectivecall frameworkmethod java junit jar org junit internal runners model reflectivecallable run reflectivecallable java junit jar org junit runners model frameworkmethod invokeexplosively frameworkmethod java junit jar org junit internal runners statements invokemethod evaluate invokemethod java junit jar org apache hadoop hive cli control cliadapter evaluate cliadapter java hive util snapshot jar snapshot org junit runners parentrunner evaluate parentrunner java junit jar org junit runners blockjunit classrunner evaluate blockjunit classrunner java junit jar org junit runners parentrunner runleaf parentrunner java junit jar org junit runners blockjunit classrunner runchild blockjunit classrunner java junit jar org junit runners blockjunit classrunner runchild blockjunit classrunner java junit jar org junit runners parentrunner run parentrunner java junit jar org junit runners parentrunner schedule parentrunner java junit jar org junit runners parentrunner runchildren parentrunner java junit jar org junit runners parentrunner access parentrunner java junit jar org junit runners parentrunner evaluate parentrunner java junit jar org junit runners parentrunner run parentrunner java junit jar org junit runners suite runchild suite java junit jar org junit runners suite runchild suite java junit jar org junit runners parentrunner run parentrunner java junit jar org junit runners parentrunner schedule parentrunner java junit jar org junit runners parentrunner runchildren parentrunner java junit jar org junit runners parentrunner access parentrunner java junit jar org junit runners parentrunner evaluate parentrunner java junit jar org apache hadoop hive cli control cliadapter evaluate cliadapter java hive util snapshot jar snapshot org junit rules runrules evaluate runrules java junit jar org junit runners parentrunner evaluate parentrunner java junit jar org junit runners parentrunner run parentrunner java junit jar org apache maven surefire junit junit provider execute junit provider java surefire junit jar org apache maven surefire junit junit provider executewithrerun junit provider java surefire junit jar org apache maven surefire junit junit provider executetestset junit provider java surefire junit jar org apache maven surefire junit junit provider invoke junit provider java surefire junit jar org apache maven surefire booter forkedbooter runsuitesinprocess forkedbooter java surefire booter jar org apache maven surefire booter forkedbooter execute forkedbooter java surefire booter jar org apache maven surefire booter forkedbooter run forkedbooter java surefire booter jar org apache maven surefire booter forkedbooter main forkedbooter java surefire booter jar code cbo fails query distinct function clause,cod cre tabl col int col int select col count distinct col group col count distinct col cod cod er c c acf ab ed e main pars calciteplan cbo fail skip cbo org apach hadoop hiv ql optim calcit calcitesemanticexceiv distinct without aggreg org apach hadoop hiv ql pars calciteplan calciteplanneract internalgenselectlogicalpl calciteplan jav hiv exec snapshot jar snapshot org apach hadoop hiv ql pars calciteplan calciteplanneract genselectlogicalpl calciteplan jav hiv exec snapshot jar snapshot org apach hadoop hiv ql pars calciteplan calciteplanneract genlogicalpl calciteplan jav hiv exec snapshot jar snapshot org apach hadoop hiv ql pars calciteplan calciteplanneract apply calciteplan jav hiv exec snapshot jar snapshot org apach hadoop hiv ql pars calciteplan calciteplanneract apply calciteplan jav hiv exec snapshot jar snapshot org apach calcit tool framework lambd withplan framework jav hiv exec snapshot jar snapshot org apach calcit prep calciteprepareimpl perform calciteprepareimpl jav hiv exec snapshot jar snapshot org apach calcit tool framework withprep framework jav hiv exec snapshot jar snapshot org apach calcit tool framework withplan framework jav hiv exec snapshot jar snapshot org apach hadoop hiv ql pars calciteplan logicalpl calciteplan jav hiv exec snapshot jar snapshot org apach hadoop hiv ql pars calciteplan genopt calciteplan jav hiv exec snapshot jar snapshot org apach hadoop hiv ql pars semanticanalys analyzeintern semanticanalys jav hiv exec snapshot jar snapshot org apach hadoop hiv ql pars calciteplan analyzeintern calciteplan jav hiv exec snapshot jar snapshot org apach hadoop hiv ql pars basesemanticanalys analys basesemanticanalys jav hiv exec snapshot jar snapshot org apach hadoop hiv ql compil analys compil jav hiv exec snapshot jar snapshot org apach hadoop hiv ql compil compil compil jav hiv exec snapshot jar snapshot org apach hadoop hiv ql driv compil driv jav hiv exec snapshot jar snapshot org apach hadoop hiv ql driv compileintern driv jav hiv exec snapshot jar snapshot org apach hadoop hiv ql driv compileandrespond driv jav hiv exec snapshot jar snapshot org apach hadoop hiv ql driv compileandrespond driv jav hiv exec snapshot jar snapshot org apach hadoop hiv ql reexec reexecdr compileandrespond reexecdr jav hiv exec snapshot jar snapshot org apach hadoop hiv ql reexec reexecdr run reexecdr jav hiv exec snapshot jar snapshot org apach hadoop hiv cli clidr processlocalcmd clidr jav hiv cli snapshot jar org apach hadoop hiv cli clidr processcmd clidr jav hiv cli snapshot jar org apach hadoop hiv cli clidr processcmd clidr jav hiv cli snapshot jar org apach hadoop hiv cli clidr processlin clidr jav hiv cli snapshot jar org apach hadoop hiv cli clidr processlin clidr jav hiv cli snapshot jar org apach hadoop hiv ql qtestutil executeclientintern qtestutil jav hiv util snapshot jar snapshot org apach hadoop hiv ql qtestutil executec qtestutil jav hiv util snapshot jar snapshot org apach hadoop hiv cli control coreclidr runtest coreclidr jav hiv util snapshot jar snapshot org apach hadoop hiv cli control cliadapt runtest cliadapt jav hiv util snapshot jar snapshot org apach hadoop hiv cli testminillaplocalclidr testclidr testminillaplocalclidr jav test class sun reflect nativemethodaccessorimpl invok nat method sun reflect nativemethodaccessorimpl invok nativemethodaccessorimpl jav sun reflect delegatingmethodaccessorimpl invok delegatingmethodaccessorimpl jav jav lang reflect method invok method jav org junit run model frameworkmethod runreflectivecal frameworkmethod jav junit jar org junit intern run model reflectivecal run reflectivecal jav junit jar org junit run model frameworkmethod invokeexplod frameworkmethod jav junit jar org junit intern run stat invokemethod evalu invokemethod jav junit jar org apach hadoop hiv cli control cliadapt evalu cliadapt jav hiv util snapshot jar snapshot org junit run parentrun evalu parentrun jav junit jar org junit run blockjunit classrun evalu blockjunit classrun jav junit jar org junit run parentrun runleaf parentrun jav junit jar org junit run blockjunit classrun runchild blockjunit classrun jav junit jar org junit run blockjunit classrun runchild blockjunit classrun jav junit jar org junit run parentrun run parentrun jav junit jar org junit run parentrun schedule parentrun jav junit jar org junit run parentrun runchildr parentrun jav junit jar org junit run parentrun access parentrun jav junit jar org junit run parentrun evalu parentrun jav junit jar org junit run parentrun run parentrun jav junit jar org junit run suit runchild suit jav junit jar org junit run suit runchild suit jav junit jar org junit run parentrun run parentrun jav junit jar org junit run parentrun schedule parentrun jav junit jar org junit run parentrun runchildr parentrun jav junit jar org junit run parentrun access parentrun jav junit jar org junit run parentrun evalu parentrun jav junit jar org apach hadoop hiv cli control cliadapt evalu cliadapt jav hiv util snapshot jar snapshot org junit rul runr evalu runr jav junit jar org junit run parentrun evalu parentrun jav junit jar org junit run parentrun run parentrun jav junit jar org apach mav surefir junit junit provid execut junit provid jav surefir junit jar org apach mav surefir junit junit provid executewithrerun junit provid jav surefir junit jar org apach mav surefir junit junit provid executetestset junit provid jav surefir junit jar org apach mav surefir junit junit provid invok junit provid jav surefir junit jar org apach mav surefir boot forkedboot runsuitesinprocess forkedboot jav surefir boot jar org apach mav surefir boot forkedboot execut forkedboot jav surefir boot jar org apach mav surefir boot forkedboot run forkedboot jav surefir boot jar org apach mav surefir boot forkedboot main forkedboot jav surefir boot jar cod cbo fail query distinct funct claus,SBR
HIVE-23898,code create table int code code error testminillaplocalclidriver testclidriver client execution failed error code running create table fname test q see ql target tmp log hive log itests qtest target tmp log hive log check ql target surefire reports itests qtest target surefire reports specific test cases logs org apache hadoop hive ql parse parseexception line character eof supported code code create table int code code error failures error testminillaplocalclidriver testclidriver client execution failed error code running create table int fname test q see ql target tmp log hive log itests qtest target tmp log hive log check ql target surefire reports itests qtest target surefire reports specific test cases logs org apache hadoop hive ql parse parseexception line extraneous input expecting eof near eof code query fails identifier contains double quotes semicolon char,cod cre tabl int cod cod er testminillaplocalclidr testclidr cli execut fail er cod run cre tabl fnam test q see ql target tmp log hiv log itest qtest target tmp log hiv log check ql target surefir report itest qtest target surefir report spec test cas log org apach hadoop hiv ql pars parseexceiv lin charact eof support cod cod cre tabl int cod cod er fail er testminillaplocalclidr testclidr cli execut fail er cod run cre tabl int fnam test q see ql target tmp log hiv log itest qtest target tmp log hiv log check ql target surefir report itest qtest target surefir report spec test cas log org apach hadoop hiv ql pars parseexceiv lin ext input expect eof near eof cod query fail ident contain doubl quot semicolon char,NSBR
HIVE-23894,incase query cancel running tasks interrupted teztask shutdown flag set code required retried incase task shutdown https github com apache hive blob master ql src java org apache hadoop hive ql exec tez teztask java l l submitdag retried incase query cancel,incas query cancel run task interrupt teztask shutdown flag set cod requir retry incas task shutdown https github com apach hiv blob mast ql src jav org apach hadoop hiv ql exec tez teztask jav l l submitd retry incas query cancel,NSBR
HIVE-23889,hive uses new writeroptions instead field orcrecordupdater https github com apache hive commit f ba f b fcd f b fcd dec diff bb e fd b cr r scenario overwrite creates empty bucket file fine intention patch creates invalid schema code create table testtable cdaid int cdarunid varchar cdaloadts timestamp globalpartyid string partitioned cdadate int cdajobname varchar clustered cdaid buckets stored orc insert overwrite table testtable partition cdadate cdajobname corebase select cdaid cdarunid cdarunid null cdaloadts globalpartyid globalpartyid union select cdaid cdarunid cdarunid null cdaloadts globalpartyid globalpartyid alter table testtable add columns groupid string cascade insert overwrite table testtable partition cdadate cdajobname corebase select cdaid cdarunid cdarunid null cdaloadts globalpartyid globalpartyid groupid groupid code hive new empty bucket shows schema orc dump code type struct col int col varchar col timestamp col string col string code instead code type struct operation int originaltransaction bigint bucket int rowid bigint currenttransaction bigint row struct cdaid int cdarunid varchar cdaloadts timestamp globalpartyid string groupid string code could lead problems later hive tries look file split generationempty bucket files inserted invalid schema hive,hiv us new writeropt instead field orcrecordupd https github com apach hiv commit f ba f b fcd f b fcd dec diff bb e fd b cr r scenario overwrit cre empty bucket fil fin int patch cre invalid schema cod cre tabl test cdaid int cdarunid varch cdaloadt timestamp globalpartyid string partit cdad int cdajobnam varch clust cdaid bucket stor orc insert overwrit tabl test partit cdad cdajobnam corebas select cdaid cdarunid cdarunid nul cdaloadt globalpartyid globalpartyid un select cdaid cdarunid cdarunid nul cdaloadt globalpartyid globalpartyid alt tabl test ad column groupid string cascad insert overwrit tabl test partit cdad cdajobnam corebas select cdaid cdarunid cdarunid nul cdaloadt globalpartyid globalpartyid groupid groupid cod hiv new empty bucket show schema orc dump cod typ struct col int col varch col timestamp col string col string cod instead cod typ struct op int originaltransact bigint bucket int rowid bigint currenttransact bigint row struct cdaid int cdarunid varch cdaloadt timestamp globalpartyid string groupid string cod could lead problem lat hiv tri look fil split generationempty bucket fil insert invalid schema hiv,SBR
