key,text_wo_stopfreq,text_stemmed,NEWcolumn
LUCENE-9587,lucene added illegal access deny jvm options enfoce code using internal jdk apis https github com apache lucene solr blob branch x lucene common build xml l l changing gradle lost option somehow need add back jdk latest jdk default setting anyways make sure testing works restricted conditions jep https openjdk java net jeps tests gradle run illegal access deny like x,luc ad illeg access deny jvm opt enfoc cod us intern jdk ap https github com apach luc solr blob branch x luc common build xml l l chang gradl lost opt somehow nee ad back jdk latest jdk default set anyway mak sur test work restrict condit jep https openjdk jav net jep test gradl run illeg access deny lik x,SBR
LUCENE-9576,noticed indexwriter commit hangs server one stale nfs mounts nuke ssd detection indexwriter commit hangs server stale nfs mount,not indexwrit commit hang serv on stal nfs mount nuk ssd detect indexwrit commit hang serv stal nfs mount,SBR
LUCENE-9549,recent jenkins build include following outpu noformat build log truncated lines error following test failed org apache solr handler jsonloadertest testaddbigintegervaluetotriefield solr core test output home jenkins workspace lucene solr master linux solr core build test results test outputs output org apache solr ha ndler jsonloadertest txt reproduce gradlew solr core test tests org apache solr handler jsonloadertest ptests jvms ptests haltonfailure false ptests jvmargs xx usecompressedoops xx useserialgc ptests seed b fb ccb ed ptests multiplier ptests badapples false ptests file encoding us ascii noformat attempting run command written produces following output noformat failure build failed exception went wrong problem configuring task solr core test command line unknown command line option x noformat explanation error xx useserialgc suppose part ptests jvmargs param ideally gradle reproduce line looked like noformat reproduce gradlew solr core test tests org apache solr handler jsonloadertest ptests jvms ptests haltonfailure false ptests jvmargs xx usecompressedoops xx useserialgc ptests seed b fb ccb ed ptests multiplier ptests badapples false ptests file encoding us ascii noformat gradle reproduce line fully quote args,rec jenkin build includ follow outpu noform build log trunt lin er follow test fail org apach solr handl jsonloadertest testaddbigintegervaluetotriefield solr cor test output hom jenkin workspac luc solr mast linux solr cor build test result test output output org apach solr ha ndler jsonloadertest txt reproduc gradlew solr cor test test org apach solr handl jsonloadertest ptest jvms ptest haltonfail fals ptest jvmargs xx usecompressedoop xx useserialgc ptest see b fb ccb ed ptest multiply ptest badappl fals ptest fil encod us asci noform attempt run command writ produc follow output noform fail build fail exceiv went wrong problem config task solr cor test command lin unknown command lin opt x noform expl er xx useserialgc suppos part ptest jvmargs param id gradl reproduc lin look lik noform reproduc gradlew solr cor test test org apach solr handl jsonloadertest ptest jvms ptest haltonfail fals ptest jvmargs xx usecompressedoop xx useserialgc ptest see b fb ccb ed ptest multiply ptest badappl fals ptest fil encod us asci noform gradl reproduc lin ful quot arg,SBR
LUCENE-9534,found seeing following test failure noformat junit java lang nullpointerexception junit org apache lucene store bytebuffersdataoutput lambda rambytesused bytebuffersdataoutput java junit java base java util stream referencepipeline accept referencepipeline java junit java base java util arraydeque deqspliterator foreachremaining arraydeque java junit java base java util stream abstractpipeline copyinto abstractpipeline java junit java base java util stream abstractpipeline wrapandcopyinto abstractpipeline java junit java base java util stream reduceops reduceop evaluatesequential reduceops java junit java base java util stream abstractpipeline evaluate abstractpipeline java junit java base java util stream longpipeline reduce longpipeline java junit java base java util stream longpipeline sum longpipeline java junit org apache lucene store bytebuffersdataoutput rambytesused bytebuffersdataoutput java junit org apache lucene codecs compressing compressingstoredfieldswriter rambytesused compressingstoredfieldswriter java junit org apache lucene index defaultindexingchain rambytesused defaultindexingchain java junit org apache lucene index documentswriterperthread rambytesused documentswriterperthread java junit org apache lucene index documentswriterflushcontrol findlargestnonpendingwriter documentswriterflushcontrol java junit org apache lucene index flushpolicy findlargestnonpendingwriter flushpolicy java junit org apache lucene index flushbyramorcountspolicy marklargestwriterpending flushbyramorcountspolicy java junit org apache lucene index flushbyramorcountspolicy oninsert flushbyramorcountspolicy java junit org apache lucene index flushpolicy onupdate flushpolicy java junit org apache lucene index documentswriterflushcontrol doafterdocument documentswriterflushcontrol java junit org apache lucene index documentswriter updatedocuments documentswriter java junit org apache lucene index indexwriter updatedocuments indexwriter java junit org apache lucene index indexwriter updatedocument indexwriter java junit org apache lucene index testindexwriterexceptions indexerthread run testindexwriterexceptions java junit note reproduce ant test dtestcase testindexwriterexceptions dtests method testrandomexceptionsthreads dtests seed c f b eea dtests slow true dtests badapples true dtests locale brx dtests timezone africa mbabane dtests asserts true dtests file encoding us ascii junit failure j testindexwriterexceptions testrandomexceptionsthreads junit throwable java lang assertionerror thread indexer hit unexpected failure junit randomizedtesting seedinfo seed c f b eea e c dbe c junit org apache lucene index testindexwriterexceptions testrandomexceptionsthreads testindexwriterexceptions java junit java base jdk internal reflect nativemethodaccessorimpl invoke native method junit java base jdk internal reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl java junit java base jdk internal reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl java junit java base java lang reflect method invoke method java junit java base java lang thread run thread java noformat documentswriterflushcontrol expects indexingchain rambytesused thread safe,found see follow test fail noform junit jav lang nullpointerexceiv junit org apach luc stor bytebuffersdataoutput lambd rambytesus bytebuffersdataoutput jav junit jav bas jav util stream referencepipelin acceiv referencepipelin jav junit jav bas jav util arraydequ deqsplit foreachremain arraydequ jav junit jav bas jav util stream abstractpipelin copyinto abstractpipelin jav junit jav bas jav util stream abstractpipelin wrapandcopyinto abstractpipelin jav junit jav bas jav util stream reduceop reduceop evaluatesequ reduceop jav junit jav bas jav util stream abstractpipelin evalu abstractpipelin jav junit jav bas jav util stream longpipelin reduc longpipelin jav junit jav bas jav util stream longpipelin sum longpipelin jav junit org apach luc stor bytebuffersdataoutput rambytesus bytebuffersdataoutput jav junit org apach luc codec compress compressingstoredfieldswrit rambytesus compressingstoredfieldswrit jav junit org apach luc index defaultindexingchain rambytesus defaultindexingchain jav junit org apach luc index documentswriterperthread rambytesus documentswriterperthread jav junit org apach luc index documentswriterflushcontrol findlargestnonpendingwrit documentswriterflushcontrol jav junit org apach luc index flushpolicy findlargestnonpendingwrit flushpolicy jav junit org apach luc index flushbyramorcountspolicy marklargestwriterpend flushbyramorcountspolicy jav junit org apach luc index flushbyramorcountspolicy oninsert flushbyramorcountspolicy jav junit org apach luc index flushpolicy onupd flushpolicy jav junit org apach luc index documentswriterflushcontrol doafterdocu documentswriterflushcontrol jav junit org apach luc index documentswrit updatedocu documentswrit jav junit org apach luc index indexwrit updatedocu indexwrit jav junit org apach luc index indexwrit updatedocu indexwrit jav junit org apach luc index testindexwriterexceiv indexerthread run testindexwriterexceiv jav junit not reproduc ant test dtestcas testindexwriterexceiv dtest method testrandomexceptionsthread dtest see c f b ee dtest slow tru dtest badappl tru dtest loc brx dtest timezon afric mbab dtest assert tru dtest fil encod us asci junit fail j testindexwriterexceiv testrandomexceptionsthread junit throwable jav lang assertioner thread index hit unexpect fail junit randomizedtest seedinfo see c f b ee e c dbe c junit org apach luc index testindexwriterexceiv testrandomexceptionsthread testindexwriterexceiv jav junit jav bas jdk intern reflect nativemethodaccessorimpl invok nat method junit jav bas jdk intern reflect nativemethodaccessorimpl invok nativemethodaccessorimpl jav junit jav bas jdk intern reflect delegatingmethodaccessorimpl invok delegatingmethodaccessorimpl jav junit jav bas jav lang reflect method invok method jav junit jav bas jav lang thread run thread jav noform documentswriterflushcontrol expect indexingchain rambytesus thread saf,SBR
LUCENE-9517,running issues running elasticsearch ci java security turned using jdk ones contains jdk bug errors look like code java java security accesscontrolexception access denied java lang runtimepermission accessdeclaredmembers code issue seems http hg openjdk java net jdk jdk file ddf e ad src java base share classes java util zip deflater java l subclass wants run code note code removed jdk might need wrap creation object dopriviledged block find different solution need subclass deflater class cc uschindler bugfixdeflaterjdk causes java security issues jdk,run issu run elasticsearch ci jav sec turn us jdk on contain jdk bug er look lik cod jav jav sec accesscontrolexceiv access deny jav lang runtimepermit accessdeclaredmemb cod issu seem http hg openjdk jav net jdk jdk fil ddf e ad src jav bas shar class jav util zip defl jav l subclass want run cod not cod remov jdk might nee wrap cre object dopriviledg block find diff solv nee subclass defl class cc uschindl bugfixdeflaterjdk caus jav sec issu jdk,SBR
LUCENE-9500,digging https ci builds apache org job lucene job lucene solr nightlytests master day managed isolate simple reproduction shows problem starring day find wrong makes wonder whether calling deflate wrong way whether hit deflate bug looked much may missing obvious stuff hit deflate bug,dig https ci build apach org job luc job luc solr nightlytest mast day man isol simpl reproduc show problem star day find wrong mak wond wheth cal defl wrong way wheth hit defl bug look much may miss obvy stuff hit defl bug,NSBR
LUCENE-9492,hi dawid tried beast task today works know howto easy lack knowledge fail quickly correctly caused usability issues figured problems forget add ptests dups xxx fails strange error sure happens looks like default swallowed wont find good method integer noformat went wrong problem occurred evaluating project lucene backward codecs failed apply plugin class org gradle api plugins javaplugin signature method static java lang integer parseint applicable argument types integer values possible solutions parseint java lang string parseint java lang string int parseint java lang charsequence int int int print java lang object print java io printwriter noformat example helptests work beasting gradle file def beastingmode gradle startparameter tasknames contains beast issue cant execute gradlew lucene core beast ptests dups tests testperfielddocvaluesformat match check says unknown task beast mean test generally prefer colon based variant instead p lucene core less type easier german keyboards gradlew beast minor problems,hi dawid tri beast task today work know howto easy lack knowledg fail quick correct caus us issu fig problem forget ad ptest dup xxx fail strange er sur hap look lik default swallow wont find good method integ noform went wrong problem occur evalu project luc backward codec fail apply plugin class org gradl ap plugin javaplugin sign method stat jav lang integ parseint appl argu typ integ valu poss solv parseint jav lang string parseint jav lang string int parseint jav lang charsequ int int int print jav lang object print jav io printwrit noform exampl helptest work beast gradl fil def beastingmod gradl startparamet tasknam contain beast issu cant execut gradlew luc cor beast ptest dup test testperfielddocvaluesform match check say unknown task beast mean test gen pref colon bas vary instead p luc cor less typ easy germ keyboard gradlew beast min problem,SBR
LUCENE-9490,policeman jenkins jobs fail ea build java reason task checkmissingdocsdefault fails due missing documentation noformat task failed exception script home jenkins workspace lucene solr master linux gradle validation missing docs check gradle line went wrong execution failed task lucene classification checkmissingdocsdefault javadoc verification failed traceback recent call last file home jenkins workspace lucene solr master linux dev tools scripts checkjavadocs py line module checkpackagesummaries sys argv level file home jenkins workspace lucene solr master linux dev tools scripts checkjavadocs py line checkpackagesummaries checkclasssummaries fullpath file home jenkins workspace lucene solr master linux dev tools scripts checkjavadocs py line checkclasssummaries raise runtimeerror failed locate javadoc item line last line fullpath linecount line rstrip runtimeerror failed locate javadoc item home jenkins workspace lucene solr master linux lucene classification build docs javadoc org apache lucene classification classificationresult html line last line tr try run stacktrace option get stack trace run info debug option get log output run scan get full insights noformat interestingly doe snot fail subprojects looks like jdk changed html output checks failing ant build problem disabled task documentation lint tasks running unsupported jdk version har rely html output change every jdk version options maybe fix regular expression python script sorry idea python problem disable python linter tasks ant java version runtimejavahome outside expectations personal opinion handle way like ant disable documentation linter runtimejavahome version later supported one maybe disable always use alternative jdk easiest check bulding task dependencies gradle imho whenever alternate java home given alternative jvm gradle would kept enabled anyways ideal place would https github com apache lucene solr blob master gradle testing alternative jdk support gradle l l add another tasks withtype set task enabled false dawid weiss tomoko ideas recommendation gradlew checkmissingdocsdefault fails jdk later,policem jenkin job fail ea build jav reason task checkmissingdocsdefault fail due miss docu noform task fail exceiv script hom jenkin workspac luc solr mast linux gradl valid miss doc check gradl lin went wrong execut fail task luc class checkmissingdocsdefault javadoc ver fail traceback rec cal last fil hom jenkin workspac luc solr mast linux dev tool scripts checkjavadoc py lin mod checkpackagesum sys argv level fil hom jenkin workspac luc solr mast linux dev tool scripts checkjavadoc py lin checkpackagesum checkclasssum fullpa fil hom jenkin workspac luc solr mast linux dev tool scripts checkjavadoc py lin checkclasssum rais runtimeer fail loc javadoc item lin last lin fullpa linecount lin rstrip runtimeer fail loc javadoc item hom jenkin workspac luc solr mast linux luc class build doc javadoc org apach luc class classificationresult html lin last lin tr try run stacktrac opt get stack trac run info debug opt get log output run scan get ful insight noform interest doe snot fail subproject look lik jdk chang html output check fail ant build problem dis task docu lint task run unsupport jdk vert har rely html output chang every jdk vert opt mayb fix regul express python script sorry ide python problem dis python lint task ant jav vert runtimejavahom outsid expect person opin handl way lik ant dis docu lint runtimejavahom vert lat support on mayb dis alway us altern jdk easiest check buld task depend gradl imho whenev altern jav hom giv altern jvm gradl would kept en anyway id plac would https github com apach luc solr blob mast gradl test altern jdk support gradl l l ad anoth task withtyp set task en fals dawid weiss tomoko idea recommend gradlew checkmissingdocsdefault fail jdk lat,SBR
LUCENE-9479,lucene added forbiddenapis also gradle signatures files selected based resolved artifacts solr also uses commons io currently version contrast ant build signatures shipped forbiddenapis applied oversight signatures special check artifacts commons io part configuration add bundled signature done place dynamic signatures libraries added add forbiddenapis commons io unsafe bundled signatures gradle build,luc ad forbiddenap also gradl sign fil select bas resolv artifact solr also us common io cur vert contrast ant build sign ship forbiddenap apply oversight sign spec check artifact common io part config ad bundl sign don plac dynam sign libr ad ad forbiddenap common io unsaf bundl sign gradl build,SBR
LUCENE-9478,introduced broken behavior leaks memory dwptdeletequeue recently lucene line https github com apache lucene solr blob af ed b c f ab f c lucene core src java org apache lucene index documentswriterdeletequeue java l l tries smart even adds comment current impl safe reference final member lambda references holds object think need quick dwptdeletequeue leaks memory,introduc brok behavy leak mem dwptdeletequeue rec luc lin https github com apach luc solr blob af ed b c f ab f c luc cor src jav org apach luc index documentswriterdeletequeu jav l l tri smart ev ad com cur impl saf ref fin memb lambd ref hold object think nee quick dwptdeletequeue leak mem,SBR
